Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	5.29307794570923	2.96503567695618	6.01167416437163	3.64814089986658	2.05818240783527	0.402533238970039
about	10.9799203872681	5.74667501449585	12.283695750986	7.19979789659318	2.10778393963955	0.611450146139675
all	8.2994499206543	6.06592702865601	-119333.458891166	49.5077648105824	-3983.30629491053	501.816581641466
am	9.08919525146484	2.58324074745178	36960.5183777536	5.05930450549093	-2.09283369769823	0.382488791496764
and	6.41942644119263	2.94455718994141	9766.13851463991	3.82947301937541	-4.47620914622344	0.73785150082632
another	10.0303754806519	5.66929721832275	11835.5978599634	7.50612181204896	-4.54812610068763	0.702945204367564
any	12.0642213821411	6.51586294174194	12.9342033432025	8.75828159888366	2.20046013411452	0.315425710865511
apple	14.7718181610107	5.28359127044678	17.1944041538981	6.57197157309738	2.31475998969376	0.597991351328057
are	6.4501895904541	2.68940305709839	4970.71231523457	3.98834220504218	-4.86985772316075	0.829847290763235
around	16.1661491394043	4.89115428924561	183183.795483443	6.89977224775102	-4.08043015083594	0.570998964575473
at	8.08907508850098	5.299729347229	8.41315020526173	6.54835183964796	1.88782203350035	0.227323375636844
away	11.4055070877075	4.85636234283447	15705.755246591	7.30796768017419	-2.64665810394672	0.511760480076858
baby	8.90326023101807	3.68889474868774	9.92215276933677	5.03235427197564	2.18420039713546	0.30436789358203
back	9.55914974212646	4.47152900695801	11.436525800971	5.74260331932125	1.96950966148293	0.345838912072269
bad	13.0148239135742	6.62416458129883	12.4666530829466	8.95036155810029	2.86860719156075	0.257173093159744
ball	8.42554378509521	3.31141018867493	9.39778452942833	4.94690496239979	2.12405540360424	0.307546077559651
balloon	11.579701423645	7.00593519210815	9.40385077955718	9.17732383258674	4.00568924359062	0.0943035260344148
banana	10.1043558120728	5.09656524658203	22.6098056607348	6.97721256289009	0.930508612805668	0.573513354750922
be	8.60810947418213	3.78680300712585	9.13123200973462	5.19196869426306	2.2801156968884	0.242983580241618
beach	11.7716856002808	3.66240692138672	20.9856214399731	6.1660693389018	1.36523185144961	0.640895955281999
bear	10.25270652771	6.52677392959595	1161.45296023882	5.5241648635326	-21.6183641164574	4.18141129973575
because	12.0128793716431	7.41747188568115	15.2401131200407	-74.885627452322	59.1464887613293	20.2180933947606
before	14.7539005279541	8.0496997833252	13.293293430805	10.5235271426521	2.71883317176762	0.106527653036024
better	12.2060422897339	8.305983543396	10.4577194024886	-84.8634895263162	12.064451048861	0.894546358011282
big	9.54072666168213	6.53221702575684	1006.91327682664	7.84812093885421	0.0616830872487951	0.237526096373924
blanket	13.1570663452148	6.90679121017456	12.8136851905227	10.1862228028747	2.001014556733	0.155131052883445
book	9.82463073730469	2.91532230377197	10.6259084989222	4.58183199097691	2.48232808742921	0.373877663916372
bottle	11.1290950775146	5.72387218475342	239645.69129951	7.3990980066136	-0.408128738539883	0.186860584218517
boy	11.9357767105103	4.33262300491333	11.5380473004446	7.1706891461924	2.30053013896533	0.16058555155805
brush	12.7660264968872	4.98025131225586	14861.7035921028	8.26980728572398	-2.91652510029486	0.549513235208697
bunny	12.6825952529907	6.84200620651245	13.1067754332014	8.80300060535311	2.50894156933428	0.29112042081389
but	9.12693500518799	5.95438814163208	9.37542711951993	7.39717881085767	2.31000034542849	0.608816907670084
by	12.1278743743896	7.61002969741821	10.976288773232	9.81200447422776	2.96434301098818	0.160905734915658
camera	10.5869569778442	4.12289524078369	11.9329193628493	6.86884192640413	2.09706991922663	0.328118302455094
can	5.61037731170654	3.11917090415955	4.53274485132244	4.30502040486714	3.56555776536691	0.0764189524731624
car	10.4004535675049	4.737624168396	13.8765422884587	6.88202045823805	1.67008028647823	0.383376058765517
clap	13.3151168823242	0.736727476119995	13.0303303742253	5.1988523957064	2.69599985039437	0.301658299105294
close	11.5798034667969	6.57748937606812	1260.76780758767	9.37857852075419	0.264935378583207	0.198723635117764
coffee	15.300763130188	8.18381023406982	24972.61153399	9.4350848804965	-14.3515333907353	1.83522241034924
cold	14.0702638626099	9.46866035461426	14.3372558419169	11.0678733941728	1.92864130877302	0.0996873601548865
cup	10.6360902786255	4.75720643997192	10.7836698693245	7.47795685541505	2.14795353542412	0.120438556024027
cut	12.1093482971191	6.02691984176636	11.4963014661874	9.14638578456929	2.5447665587222	0.070566337698784
dance	16.4902000427246	7.0977029800415	15.804880824096	10.4579041544491	2.4849377227194	0.124251000114283
day	15.136773109436	5.37015342712402	60510.3747869562	7.4455244661314	-9.71691417671379	1.18554218862365
did	10.1229248046875	5.3513708114624	9.63852201234498	7.17943611537596	2.3978501202366	0.317285391664687
do	6.64775371551514	4.46371221542358	6.0838300872045	5.59444901305055	3.41062805483461	0.052697860420621
door	12.6359024047852	6.85377883911133	3557.72271089807	9.33031479332964	-18.9381155211972	2.54198813731398
down	9.17465305328369	5.26832246780396	9.0050512772471	6.87789063025568	2.71726252826199	0.297527915869828
drop	16.0469703674316	8.60458660125732	15.8529022066896	11.6638817925109	2.29124261146502	0.136249794847836
duck	11.5690870285034	6.98339080810547	9.08417490389318	12817.5503884669	9.66504326361696	0.563590855738066
eat	9.89877128601074	5.84622716903687	17126.7757161754	7.40815950274548	-5.48652400654221	0.782325661932307
egg	10.2041263580322	5.4940619468689	10.3931499753396	7.15075462031224	2.53703567980323	0.358201713827988
farm	11.9040489196777	8.14533805847168	2696.12685452443	9.94858936211492	-7.70410574143929	1.11552624666161
find	12.4833679199219	6.4074273109436	12.3230895703503	8.88197207670816	2.13773610798676	0.0172587593948032
first	12.6751337051392	7.66518115997314	11.801978253137	9.44026938400723	2.6587399163735	0.557257232682461
food	14.5467557907104	8.94092178344727	956.130221999951	11.2584893883093	-9.78881159317886	1.27075773234308
foot	13.2189779281616	4.58291673660278	17.3357583837841	6.49261002284004	1.86103892324571	0.396918799887534
for	9.09329605102539	5.5613694190979	8.99080292085011	6.87867009015658	2.20890974492233	0.171181274648573
get	7.15426731109619	3.24527597427368	8.11236412001359	4.48195837106341	1.93132354138827	0.226547992577923
give	9.67599010467529	4.84165525436401	8.4524623259036	7.12069481147417	3.02337830774086	0.0657475955074292
go	5.96880197525024	2.57172346115112	12086.1111177683	2.61367040051982	-17.9036663974442	2.31828646908447
gonna	8.83259582519531	3.28286361694336	9.6954650620807	4.95441412185745	2.12628944025806	0.266198214067517
good	8.5074462890625	5.93743324279785	7.95679006498223	6.82615691919344	3.11841265430523	0.454117538896265
hand	11.5172243118286	3.04492282867432	5109.60285440185	4.98887133645186	-6.71212638194727	1.25581057382897
happy	10.2307662963867	3.31888175010681	9.41281462096495	5.75548256305798	2.75100880513981	0.105032334046361
hard	12.9837970733643	4.1945652961731	12.3157018883691	6.21166254429039	2.42799935850003	0.2650394509593
have	6.32132625579834	3.43633890151978	4860.60550214733	4.27373376449018	-11.9092406165021	1.68206024630807
he	10.9377241134644	7.13146448135376	8.36240324229343	9.02206516793496	3.73105951992231	0.0572487149857243
head	10.4530954360962	3.35722804069519	9.80692168026177	6.19910943730558	2.66761768160076	0.0816866316374337
help	10.6976642608643	5.41014194488525	9.73691178309293	8.42357992778941	2.07957036236074	0.0375535861415843
her	13.3507614135742	6.75392484664917	13.1717651894511	9.87661799154644	2.28438160932188	0.205287133650506
here	8.15857696533203	5.24230337142944	7.86041208981291	6.88923781424463	2.47111655568112	0.0603574013714223
him	11.7972183227539	4.24793577194214	10.918861187586	7.13511404394345	2.45759862418033	0.133201845792131
his	18.4131412506104	5.42301225662231	72.7765480408347	8.03496953005452	1.06129253964033	0.38150743202235
hold	10.79185962677	4.11810302734375	2196.92336341922	7.57548659917382	-7.67497196798705	1.03743867093384
home	13.7839040756226	7.29689168930054	11.4552197092248	10.3486377433559	3.73093156594016	0.0140099594814303
house	12.0695142745972	6.57590341567993	12.8779246254518	8.7955784544441	2.09972917849458	0.268676763013683
how	10.7839183807373	5.83132743835449	9.91595340145249	7.81034413701856	2.73088394910724	0.208762629723834
hug	13.3475914001465	5.04190063476562	12.6682135143181	8.32296326710988	2.50190519361187	0.175649182121587
if	9.64912986755371	6.08582067489624	10.3009405067018	7.51933057234507	2.06785359858946	0.430460871337934
inside	12.6534929275513	6.60183334350586	14920.3398456895	9.22006864490874	-3.44446461366707	0.586887396981682
is	6.36473751068115	2.27327346801758	6.31044337478697	3.56620092255901	2.21027434052223	0.314982637021297
it	5.59968423843384	2.48833441734314	5.71392402941381	3.41810007631958	2.1246050220264	0.179836596012326
jacket	13.8827877044678	3.94505000114441	13.7454539654237	7.0947724985762	2.3354546014919	0.0904403627287374
juice	18.6192512512207	4.16163492202759	82.4634932836185	6.70633856490382	0.278720888072502	0.803631575239364
