Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	2.47712125471966	4.12905681133271	5.29307794570923	2.96503567695618	6.01167416437163	3.64814089986658	2.05818240783527	0.402533238970039
about	2.47712125471966	8.36329770088198	10.9799203872681	5.74667501449585	12.283695750986	7.19979789659318	2.10778393963955	0.611450146139675
all	2.47712125471966	7.18268847465515	8.2994499206543	6.06592702865601	-119333.458891166	49.5077648105824	-3983.30629491053	501.816581641466
am	2.02652235589466	5.83621799945831	9.08919525146484	2.58324074745178	36960.5183777536	5.05930450549093	-2.09283369769823	0.382488791496764
and	2.41957162644801	4.68199181556702	6.41942644119263	2.94455718994141	9766.13851463991	3.82947301937541	-4.47620914622344	0.73785150082632
another	2.47712125471966	7.84983634948733	10.0303754806519	5.66929721832275	11835.5978599634	7.50612181204896	-4.54812610068763	0.702945204367564
any	2.47712125471966	9.29004216194152	12.0642213821411	6.51586294174194	12.9342033432025	8.75828159888366	2.20046013411452	0.315425710865511
apple	2.47712125471966	10.0277047157287	14.7718181610107	5.28359127044678	17.1944041538981	6.57197157309738	2.31475998969376	0.597991351328057
are	2.47712125471966	4.56979632377625	6.4501895904541	2.68940305709839	4970.71231523457	3.98834220504218	-4.86985772316075	0.829847290763235
around	2.10306831372594	10.528651714325	16.1661491394043	4.89115428924561	183183.795483443	6.89977224775102	-4.08043015083594	0.570998964575473
at	2.44826503195976	6.69440221786499	8.08907508850098	5.299729347229	8.41315020526173	6.54835183964796	1.88782203350035	0.227323375636844
away	2.39730630629823	8.13093471527099	11.4055070877075	4.85636234283447	15705.755246591	7.30796768017419	-2.64665810394672	0.511760480076858
baby	2.47712125471966	6.29607748985291	8.90326023101807	3.68889474868774	9.92215276933677	5.03235427197564	2.18420039713546	0.30436789358203
back	2.40016180574825	7.01533937454223	9.55914974212646	4.47152900695801	11.436525800971	5.74260331932125	1.96950966148293	0.345838912072269
bad	2.47712125471966	9.81949424743651	13.0148239135742	6.62416458129883	12.4666530829466	8.95036155810029	2.86860719156075	0.257173093159744
