Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
my	1.84772755172597	9.17238051112109	9.763258934021	5.14736843109131	11.8126235551331	6.53213746710908	1.84772755172597	0.410352330103809
nap	2.47712125471966	9.89035373964616	11.980655670166	5.45490550994873	10.8180435030051	8.96266397628722	2.81068918945418	0.255664463011698
need	0	2728.76182551703	8.06487846374512	4.5659646987915	5451.44269754113	6.08095349293567	-7.79335444216489	1.13494477364359
new	2.47712125471966	10.1854295705968	11.9553518295288	6.54736137390137	11.3389509458676	9.03190819532595	2.64522822924097	0.121080142188618
next	2.47712125471966	11.4388273511847	12.4467906951904	8.58349990844727	12.0081122913091	10.8695424110603	2.52615835121805	0.0330651022451533
nice	2.47712125471966	9.27144313839877	10.6962423324585	6.89759302139282	10.2706705629111	8.27221571388645	2.6400915406705	0.0981225390469187
night	2.47712125471966	10.2382554549563	12.6376752853394	5.25031185150146	12.3377375746664	8.13877333524626	2.88659300209114	0.221985487926282
nose	2.47712125471966	10.0454153209725	12.3737745285034	5.327467918396	12.1755223043086	7.91530833763635	2.92910887139924	0.371956499671617
not	2.4357946395057	7.52561193235246	8.3660135269165	5.59269189834595	8.4300448470924	6.62117901761251	2.4357946395057	0.385635587053645
now	2.47712125471966	7.31469152836791	8.07240581512451	5.54323863983154	7.78545964653217	6.84392341020366	2.70330017808888	0.47205050994571
of	1.54481784510822	6.55512336813001	6.18721580505371	2.202397108078	10.2484071512034	2.86183958505662	1.54481784510822	0.712491278447356
off	2.47712125471966	7.36281466306248	8.8369607925415	3.81837344169617	10.0075407452504	4.71808858087455	2.71117275870167	0.677316777939983
old	0	14395.0348668351	16.0158710479736	8.98924160003662	28778.8632791573	11.2064545129655	-2.55010778565867	0.470319024405387
on	1.34867660818802	7.29363158936344	6.35294532775879	3.4798629283905	10.367195585297	4.22006759342987	1.34867660818802	0.644299432082086
open	0	348.816776952911	11.5142440795898	7.76210594177246	689.270838675738	8.36271523008324	-16.4354306210513	3.2541350014125
orange	2.47712125471966	11.3218681418379	14.5914974212646	6.57915353775024	14.0206504597226	8.62308582395321	2.72557702042058	0.315442276181398
other	1.63640208481686	10.2251070820072	9.93176174163818	5.47208690643311	13.7027851458335	6.74742901818084	1.63640208481686	0.54271914775884
our	1.94018951905597	10.576642448574	11.6143112182617	6.0652174949646	13.1930046564422	7.96028024070573	1.94018951905597	0.278483523018879
out	2.47712125471966	7.1063813372158	8.36035060882568	4.06524038314819	8.84453254179113	5.36823013264046	2.54424996459764	0.467939101484664
outside	2.47712125471966	8.64863383053007	10.5449533462524	5.11102151870728	10.052237406153	7.24503025490713	2.58434788678256	0.184587660407228
over	1.95875556547712	8.90099227631377	9.55889225006104	5.27517366409302	11.2303013984316	6.57168315419593	1.95875556547712	0.573752863308282
owie	2.47712125471966	10.0937725753271	13.2563600540161	4.24179935455322	12.0749254913275	8.11261965932661	3.19511684290181	0.0262456678102667
paint	2.47712125471966	11.0543917570837	14.9866237640381	6.68446159362793	12.0770082067978	10.0317753073697	3.60030732486154	0.0143070163057657
pants	1.87587109497561	11.026997642556	12.0144519805908	5.17548322677612	14.8364144518058	7.21758083330629	1.87587109497561	0.377868653254962
paper	2.17648805202914	12.3911708030596	13.8398809432983	5.8674578666687	15.7237012550782	9.05864035104096	2.17648805202914	0.418187099303708
park	0	14748.1642372244	15.4915075302124	6.02881717681885	29488.8399402761	7.48853417269638	-20.2827154653146	2.48992518387993
people	0	3076.04234307313	14.3769426345825	7.62270832061768	6142.85455937515	9.23012677111658	-5.44048846376946	0.991235268404542
pick	2.45010051187516	9.49081536638337	11.1754903793335	6.13619136810303	10.5935564931077	8.38807423965903	2.45010051187516	0.136323463449635
picture	1.60955218665667	11.7340422742008	11.6058206558228	6.71341991424561	14.266658431527	9.20142611687461	1.60955218665667	0.52885473405971
pig	2.47712125471966	8.93498480403623	14.5688314437866	4.18836498260498	11.1702120275454	6.69975758052707	3.02303356301558	0.194567873880112
plate	2.47712125471966	10.661769762379	12.0891761779785	7.42853689193726	11.5166730281709	9.80686649658707	2.61509197227821	0.158821136228033
play	0	14656.7944965086	9.82046508789062	5.22476720809937	29307.0426222643	6.54637075294893	-3.51172028926252	0.562630838202458
playground	0	1120.80606656149	11.8477449417114	5.58525466918945	2237.32267944359	4.28945367939023	-29.7777894335911	5.38042609240361
please	0	6310.86074626061	16.8701419830322	7.96381187438965	12611.1527943038	10.5686982174107	-3.29567904101589	0.636202213001293
potty	2.47712125471966	8.65134042205758	9.78134155273438	5.60284376144409	9.8514784809659	7.45120236314925	2.58123248172407	0.281335117844863
pour	2.36922942758935	14.6502021859577	18.5777397155762	8.35412883758545	18.2041487538324	11.0962556180831	2.36922942758935	0.11266385343045
pretty	2.28466103803549	9.58451806682065	10.9382228851318	6.34866666793823	11.1375958022492	8.0314403313921	2.28466103803549	0.307553523234479
pull	0	4794.13877674905	13.006814956665	7.38106250762939	9578.67985031391	9.5977031841907	-9.8501670997237	1.36580870229778
put	2.25823549054864	5.09259550613045	5.81148862838745	3.4935154914856	5.76724267004037	4.41794834222053	2.25823549054864	0.20105776266149
puzzle	0	10427.8496833259	13.033673286438	6.61832141876221	20847.4571787892	8.24218786258693	-4.88182443340846	0.751505432601239
quack	2.47712125471966	10.7325896429201	14.402364730835	2.99211955070496	13.978620887378	7.4865583984621	3.13113320122857	0.335368920491931
quiet	2.47712125471966	10.7479577857844	13.304123878479	5.75443363189697	11.985954538589	9.5099610329797	2.87548821940754	0.073427018621925
read	2.26667517600763	7.113728376937	9.20373630523682	3.40280270576477	9.01806837291618	5.20938838095783	2.26667517600763	0.127807739208417
red	0	18155.4584631999	14.3052825927734	8.13164806365967	36301.2431749192	9.6737514805821	-2.03313475876539	0.404105434347641
rock	0	4447.67545946601	15.2429666519165	8.78303050994873	8883.79830202174	11.5526169102784	-4.44963139823016	0.762641138103159
room	2.09901305007264	11.3591840445202	14.1867456436157	3.47597002983093	17.33955125602	5.37881683302033	2.09901305007264	0.405990903215149
run	2.47712125471966	14.3026097512548	16.8778438568115	8.21898078918457	16.8038908506285	11.8013286518811	2.52829073285988	0.155348276976086
sad	2.26215630841251	11.2262818662276	13.6812906265259	6.28531408309937	13.8458005310384	8.60676320141675	2.26215630841251	0.273565564269091
