Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	2.05818240783527	4.8299075321191	5.29307794570923	2.96503567695618	6.01167416437163	3.64814089986658	2.05818240783527	0.402533238970039
about	2.10778393963955	9.74174682378959	10.9799203872681	5.74667501449585	12.283695750986	7.19979789659318	2.10778393963955	0.611450146139675
all	0	-59641.9755631777	8.2994499206543	6.06592702865601	-119333.458891166	49.5077648105824	-3983.30629491053	501.816581641466
am	0	18482.7888411295	9.08919525146484	2.58324074745178	36960.5183777536	5.05930450549093	-2.09283369769823	0.382488791496764
and	0	4884.98399382964	6.41942644119263	2.94455718994141	9766.13851463991	3.82947301937541	-4.47620914622344	0.73785150082632
another	0	5921.55199088772	10.0303754806519	5.66929721832275	11835.5978599634	7.50612181204896	-4.54812610068763	0.702945204367564
any	2.20046013411452	10.8462424710431	12.0642213821411	6.51586294174194	12.9342033432025	8.75828159888366	2.20046013411452	0.315425710865511
apple	2.31475998969376	11.8831878634977	14.7718181610107	5.28359127044678	17.1944041538981	6.57197157309738	2.31475998969376	0.597991351328057
are	0	2487.35032871981	6.4501895904541	2.68940305709839	4970.71231523457	3.98834220504218	-4.86985772316075	0.829847290763235
around	0	91595.3476278454	16.1661491394043	4.89115428924561	183183.795483443	6.89977224775102	-4.08043015083594	0.570998964575473
at	1.88782203350035	7.48075102245484	8.08907508850098	5.299729347229	8.41315020526173	6.54835183964796	1.88782203350035	0.227323375636844
away	0	7856.53160713559	11.4055070877075	4.85636234283447	15705.755246591	7.30796768017419	-2.64665810394672	0.511760480076858
baby	2.18420039713546	7.47725352065621	8.90326023101807	3.68889474868774	9.92215276933677	5.03235427197564	2.18420039713546	0.30436789358203
back	1.96950966148293	8.58956456014612	9.55914974212646	4.47152900695801	11.436525800971	5.74260331932125	1.96950966148293	0.345838912072269
bad	2.47712125471966	10.7085073205234	13.0148239135742	6.62416458129883	12.4666530829466	8.95036155810029	2.86860719156075	0.257173093159744
ball	2.12405540360424	7.17234474591406	8.42554378509521	3.31141018867493	9.39778452942833	4.94690496239979	2.12405540360424	0.307546077559651
balloon	2.47712125471966	9.29058730607196	11.579701423645	7.00593519210815	9.40385077955718	9.17732383258674	4.00568924359062	0.0943035260344148
banana	0.930508612805668	14.7935091118124	10.1043558120728	5.09656524658203	22.6098056607348	6.97721256289009	0.930508612805668	0.573513354750922
be	2.2801156968884	7.16160035199884	8.60810947418213	3.78680300712585	9.13123200973462	5.19196869426306	2.2801156968884	0.242983580241618
beach	1.36523185144961	13.5758453894375	11.7716856002808	3.66240692138672	20.9856214399731	6.1660693389018	1.36523185144961	0.640895955281999
bear	0	583.488562551176	10.25270652771	6.52677392959595	1161.45296023882	5.5241648635326	-21.6183641164574	4.18141129973575
because	2.47712125471966	-29.8227571661406	12.0128793716431	7.41747188568115	15.2401131200407	-74.885627452322	59.1464887613293	20.2180933947606
