Steps	Token	MedianRank	MeanSurprisal	StdevSurprisal	Accuracy	NumExamples
49	tiny	5319	15.869881629943848	0.40398070216178894	0.0	3
49	brush	698	12.766026496887207	0.3757385313510895	0.0	3
49	and	8	6.419426441192627	0.927760899066925	0.0	101
49	kitty	79	9.47698974609375	0.9526297450065613	0.0	10
49	tired	239	11.331497192382812	0.8736324310302734	0.0	4
49	food	514	13.07189655303955	0.45949214696884155	0.0	3
49	bear	70	9.797985076904297	1.2282079458236694	0.0	10
49	beach	637	11.771685600280762	0.04037069156765938	0.0	3
49	home	353	12.379712104797363	0.830857515335083	0.0	3
49	to	1	3.284475803375244	2.3974609375	0.4966442883014679	149
49	is	4	5.567888259887695	1.6022424697875977	0.06976744532585144	43
49	another	100	10.030375480651855	0.7984359860420227	0.0	5
49	bottle	312	11.129095077514648	0.6167512536048889	0.0	5
49	bunny	400	12.682595252990723	1.7599132061004639	0.0	4
49	playground	459	11.642242431640625	0.612720787525177	0.0	3
49	find	379	12.16211986541748	1.4281069040298462	0.0	3
49	all	9	6.397297382354736	1.3825634717941284	0.06896551698446274	29
49	this	18	7.17160177230835	0.8940894603729248	0.0	44
49	egg	172	10.204126358032227	0.2610866129398346	0.0	7
49	same	226	10.648099899291992	0.04708559066057205	0.0	4
49	off	53	8.85773754119873	1.2726695537567139	0.0	16
49	open	105	10.1510591506958	1.21483314037323	0.0	3
49	around	1180	16.166149139404297	1.671877145767212	0.0	8
49	then	63	8.346383094787598	1.4035104513168335	0.0	11
49	camera	238	10.586956977844238	0.15767624974250793	0.0	5
49	them	44	8.346061706542969	0.9366809725761414	0.0	14
49	which	84	9.921034812927246	1.2951023578643799	0.0	3
49	red	1052	14.21617603302002	1.3630605936050415	0.0	5
49	am	94	9.089195251464844	0.39381399750709534	0.0	3
49	no	85	9.692432403564453	0.9849144220352173	0.0	6
49	go	4	5.642878532409668	1.9456247091293335	0.37254902720451355	51
49	that	9	6.3386921882629395	0.8074018359184265	0.0	40
49	juice	3662	18.619251251220703	3.8361856937408447	0.0	4
49	good	41	8.292404174804688	0.5611904263496399	0.0	9
49	bad	696	13.014823913574219	0.609378457069397	0.0	4
49	me	20	7.5753865242004395	0.9025868773460388	0.0	31
49	foot	920	13.218977928161621	0.9893040060997009	0.0	8
49	head	140	9.906393051147461	0.13043907284736633	0.0	3
49	cut	490	11.877665519714355	1.169785976409912	0.0	3
49	big	109	9.540726661682129	0.5209720730781555	0.0	15
49	before	446	13.102392196655273	0.872106671333313	0.0	4
49	of	14	6.462997913360596	1.5747610330581665	0.10000000149011612	50
49	truck	134	11.133193016052246	1.043161153793335	0.0	8
49	potty	205	10.959080696105957	1.058678150177002	0.0	4
49	bed	343	11.719111442565918	1.4906102418899536	0.0	3
49	close	115	10.834948539733887	2.5230159759521484	0.0	3
49	need	20	7.489080429077148	1.479032039642334	0.0	8
49	owie	199	10.347062110900879	0.12499134987592697	0.0	3
49	book	88	9.608492851257324	1.0682257413864136	0.0	16
49	his	3518	18.41314125061035	1.1205660104751587	0.0	3
49	today	244	11.864997863769531	0.6143073439598083	0.0	6
49	hard	483	12.983797073364258	1.2906196117401123	0.0	5
49	water	134	10.291471481323242	0.5502136945724487	0.0	7
49	up	56	8.681524276733398	1.0565046072006226	0.0	19
49	now	24	7.399453163146973	0.967864453792572	0.0	23
49	he	30	8.093489646911621	0.5955019593238831	0.0	9
49	what	27	6.846481800079346	1.2870421409606934	0.0	15
49	gonna	53	8.832595825195312	0.8882916569709778	0.0	8
49	do	15	6.616695880889893	1.3527294397354126	0.0	35
49	are	13	6.450189590454102	1.3245233297348022	0.0	31
49	here	22	7.46021842956543	0.8532297611236572	0.0	17
49	get	19	7.154267311096191	0.6669208407402039	0.0	33
49	day	1476	15.136773109436035	0.572334349155426	0.0	4
49	sock	542	11.792415618896484	0.5762596130371094	0.0	4
49	nose	462	12.404339790344238	0.7794150710105896	0.0	4
49	have	6	5.93137264251709	1.571660041809082	0.06666667014360428	45
49	dance	2792	16.49020004272461	1.0314829349517822	0.0	4
49	turn	115	9.785736083984375	0.7075921893119812	0.0	10
49	show	280	10.979138374328613	1.1039427518844604	0.0	4
49	stairs	241	10.708436012268066	0.07570923864841461	0.0	4
49	it	5	5.599684238433838	0.912804365158081	0.0	116
49	train	75	9.488970756530762	0.08070361614227295	0.0	7
49	nap	118	10.090827941894531	0.952778160572052	0.0	3
49	some	24	7.2030439376831055	0.6291264891624451	0.0	35
49	hug	1370	13.347591400146484	0.6821973919868469	0.0	3
49	tree	307	11.04790210723877	0.43977591395378113	0.0	3
49	so	88	9.320570945739746	1.0023151636123657	0.0	13
49	paper	1001	13.82640552520752	0.8522548079490662	0.0	3
49	hand	294	11.517224311828613	0.8223710060119629	0.0	5
49	try	65	8.767810821533203	0.4180946350097656	0.0	16
49	inside	520	12.65349292755127	0.44762495160102844	0.0	3
49	give	84	9.675990104675293	1.3969554901123047	0.0	4
49	much	108	10.276001930236816	1.028132677078247	0.0	4
49	because	79	9.673564910888672	0.8719200491905212	0.0	9
49	on	11	6.443643093109131	1.2744771242141724	0.0	94
49	sad	1313	14.176470756530762	1.2123208045959473	0.0	3
49	pick	107	9.551545143127441	0.25827890634536743	0.0	3
49	throw	118	9.382593154907227	0.8844625353813171	0.0	3
49	under	484	12.976654052734375	0.5314894914627075	0.0	4
49	can	2	4.521864891052246	1.3283181190490723	0.0	37
49	at	25	7.8526387214660645	2.6617043018341064	0.05263157933950424	19
49	bucket	315	10.91278076171875	0.24648436903953552	0.0	3
